rank,title,link,author,star,comment_num,comment_link,price
16,爆笑校园44【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B01HI1KHN8/ref=zg_bs_143305071_16?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.1,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
17,爆笑校园42【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B01HI1KHMO/ref=zg_bs_143305071_17?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.0,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
18,新蜡笔小新Vol.1（日本连载30年的国民漫画！漫…,https://www.amazon.cn/dp/B0886FM3QK/ref=zg_bs_143305071_18?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,臼井仪人&UY工作室,4.4,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
19,爆笑校园48【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B06WP4LGRP/ref=zg_bs_143305071_19?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,3.6,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
20,爆笑校园37【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B0178VC8P8/ref=zg_bs_143305071_20?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.0,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
21,生命源代码2,https://www.amazon.cn/dp/B06ZYFZSDN/ref=zg_bs_143305071_21?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,延强动漫,2.3,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
23,爆笑校园5【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B008HKA6H2/ref=zg_bs_143305071_23?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.4,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
24,爆笑校园38【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B0178VC7NQ/ref=zg_bs_143305071_24?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.5,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
25,爆笑校园20,https://www.amazon.cn/dp/B008HKAXQG/ref=zg_bs_143305071_25?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.0,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
26,寄生少女 2,https://www.amazon.cn/dp/B077N6K35N/ref=zg_bs_143305071_26?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,周智延,5.0,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
27,呆头农场02【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B00QW7NU1Q/ref=zg_bs_143305071_27?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.3,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
28,爆笑校园16,https://www.amazon.cn/dp/B008HKAM4Y/ref=zg_bs_143305071_28?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.4,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
29,哆啦A梦珍藏版（第一部：卷1-卷6） (永恒的经…,https://www.amazon.cn/dp/B08H12ZLCG/ref=zg_bs_143305071_29?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,藤子·F·不二雄,4.8,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
30,爆笑校园2【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B008HKA3FM/ref=zg_bs_143305071_30?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,3.9,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
31,爆笑校园1【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B008HKA2S0/ref=zg_bs_143305071_31?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.0,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
32,妖怪名单2,https://www.amazon.cn/dp/B0739MTV4Z/ref=zg_bs_143305071_32?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,糖人家,3.7,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
33,生命源代码3,https://www.amazon.cn/dp/B06ZY5G59T/ref=zg_bs_143305071_33?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,延强动漫,2.9,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
34,爆笑校园3【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B008HKA4HY/ref=zg_bs_143305071_34?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.3,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
35,明星男友强索爱（全集）,https://www.amazon.cn/dp/B082RVNS6X/ref=zg_bs_143305071_35?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,鱼骨互娱,5.0,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
36,爆笑校园15,https://www.amazon.cn/dp/B008HKAKKK/ref=zg_bs_143305071_36?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.6,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
37,蜡笔小新(01):妈妈是朋友 (蜡笔小新成人怀旧绘本 1),https://www.amazon.cn/dp/B01GCC63J6/ref=zg_bs_143305071_37?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,臼井仪人,3.4,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
38,生命源代码4,https://www.amazon.cn/dp/B071D2CWKD/ref=zg_bs_143305071_38?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,延强动漫,4.0,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
40,爆笑校园35【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B00GUA8NWQ/ref=zg_bs_143305071_40?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.1,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
41,名侦探柯南（第1部：卷1~卷8） (超人气连载26…,https://www.amazon.cn/dp/B083D28JCF/ref=zg_bs_143305071_41?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,青山刚昌,4.6,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
42,总裁的天价萌妻（全集）,https://www.amazon.cn/dp/B07S4K4WD7/ref=zg_bs_143305071_42?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,开源动漫,3.4,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
43,妖怪名单3,https://www.amazon.cn/dp/B0739SSZ41/ref=zg_bs_143305071_43?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,糖人家,4.7,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
45,一人之下 2,https://www.amazon.cn/dp/B074BTGGMT/ref=zg_bs_143305071_45?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,动漫堂,4.0,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
46,百花缭乱2,https://www.amazon.cn/dp/B073TRW2J6/ref=zg_bs_143305071_46?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,动漫堂,3.8,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
47,呆头农场01【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B00E5W0NDS/ref=zg_bs_143305071_47?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.3,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
48,宝贝你好甜（全集）,https://www.amazon.cn/dp/B082RV8DBX/ref=zg_bs_143305071_48?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,左岸卡漫,5.0,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
49,这个总裁有点残（全集）,https://www.amazon.cn/dp/B085YC7PYJ/ref=zg_bs_143305071_49?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,仟绘漫画,5.0,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
50,爆笑校园4【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B008HKA4OC/ref=zg_bs_143305071_50?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.4,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
rank,title,link,author,star,comment_num,comment_link,price
51,镖人4(读客熊猫君出品，轰动日本的中国漫画！《…,https://www.amazon.cn/dp/B07KR2DFFZ/ref=zg_bs_143305071_51?_encoding=UTF8&psc=1&refRID=AQ712Y58AB1GXFPT0TZN,许先哲,4.4,31,https://www.amazon.cn/product-reviews/B07KR2DFFZ/ref=zg_bs_143305071_cr_51?ie=UTF8&refRID=AQ712Y58AB1GXFPT0TZN,￥9.90
