rank,title,link,author,star,comment_num,comment_link,price
18,唐诗鉴赏辞典（新一版）（豆瓣评分9.7，经典畅…,https://www.amazon.cn/dp/B087M6HVT9/ref=zg_bs_143553071_18?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,上海辞书出版社文学鉴赏辞典编纂中心,4.7,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
19,夜航船(天下学问，惟夜航船中难对付。全新点校精…,https://www.amazon.cn/dp/B01MG1ARFX/ref=zg_bs_143553071_19?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,张岱,3.9,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
20,"脸要穷养,身要娇养 (博集健康养生系列)",https://www.amazon.cn/dp/B007WR0R2U/ref=zg_bs_143553071_20?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,佟彤,4.3,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
21,知乎周刊・你可能错过的 10 本榜单好书（总第…,https://www.amazon.cn/dp/B01B60Z7JG/ref=zg_bs_143553071_21?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,知乎,4.4,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
23,作家榜经典：儒林外史(一部写透中国古代官场的百…,https://www.amazon.cn/dp/B071S6VFYM/ref=zg_bs_143553071_23?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,吴敬梓,4.5,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
24,心情词典【陈坤“2018行走的力量分享展”特别推…,https://www.amazon.cn/dp/B01N1GMF3U/ref=zg_bs_143553071_24?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,蒂凡尼·瓦特·史密斯,4.0,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
25,小习惯（日本改变数万人真实生活的习惯养成法，…,https://www.amazon.cn/dp/B08TMRX6XY/ref=zg_bs_143553071_25?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,吉井雅之,5.0,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
26,偏见的本质（《社会性动物》阿伦森推荐的“偏见…,https://www.amazon.cn/dp/B08MF6831M/ref=zg_bs_143553071_26?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,戈登·奥尔波特,3.8,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
27,交际心理学（89个交际法则，超全面的社交问题“…,https://www.amazon.cn/dp/B075CXP7J6/ref=zg_bs_143553071_27?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,马甲,4.0,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
28,深奥的简洁【科普大师约翰·格里宾教授的经典代表…,https://www.amazon.cn/dp/B082KKRHRD/ref=zg_bs_143553071_28?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,约翰·格里宾(John Grib …,4.0,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
30,C Primer Plus（第6版）中文版【最新修订版】（…,https://www.amazon.cn/dp/B086R13W5H/ref=zg_bs_143553071_30?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,史蒂芬·普拉达,5.0,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
31,理想国译丛005 政治秩序的起源：从前人类时代到…,https://www.amazon.cn/dp/B01KJDDXZ6/ref=zg_bs_143553071_31?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,弗朗西斯·福山,4.4,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
