rank,title,link,author,star,comment_num,comment_link,price
15,就喜欢你看不惯我又干不掉我的样子.1(一只叫吾皇…,https://www.amazon.cn/dp/B07TDFP5JX/ref=zg_bs_116169071_15/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,白茶,4.5,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
16,精进：如何成为一个很厉害的人（知乎604939个…,https://www.amazon.cn/dp/B01GDK26FW/ref=zg_bs_116169071_16/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,采铜,4.1,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
17,作家榜经典：人间失格（免费赠日文版！不容错过…,https://www.amazon.cn/dp/B08Q3S9JRV/ref=zg_bs_116169071_17/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,太宰治,4.3,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
18,喜鹊谋杀案（美国亚马逊、《纽约时报》年度最佳…,https://www.amazon.cn/dp/B07S8VZ8HL/ref=zg_bs_116169071_18/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,安东尼·霍洛维茨,4.2,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
19,从一到无穷大（清华大学新生礼物，校长邱勇推…,https://www.amazon.cn/dp/B07X1NMMGY/ref=zg_bs_116169071_19/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,乔治·伽莫夫,4.9,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
20,自卑与超越(完整全译本未删节，读个体心理学经…,https://www.amazon.cn/dp/B075Q614DV/ref=zg_bs_116169071_20/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,阿尔弗雷德·阿德勒,4.5,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
21,经济学通识,https://www.amazon.cn/dp/B0798J3G37/ref=zg_bs_116169071_21/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,薛兆丰,4.1,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
22,82年生的金智英【豆瓣2019年最受欢迎图书！亚…,https://www.amazon.cn/dp/B07X8FKFVG/ref=zg_bs_116169071_22/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,赵南柱,4.4,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
23,读客经典文库：漫长的告别（怪不得村上春树读…,https://www.amazon.cn/dp/B07HJ2SJQV/ref=zg_bs_116169071_23/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,雷蒙德·钱德勒,4.5,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
24,人类群星闪耀时（当改变命运的时刻降临，犹豫就…,https://www.amazon.cn/dp/B07V1QGT9F/ref=zg_bs_116169071_24/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,斯蒂芬·茨威格,4.5,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
